original_dir,p:\myPictures\Dropbox Backup\Camera Uploads
duplicate_dir,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads

files_indexed_dir1,9224
dirs_indexed_dir1,13
index_errors_dir1,0
index_duration_dir1,1820.02

files_indexed_dir2,1346
dirs_indexed_dir2,6
index_errors_dir2,0
index_duration_dir2,475.22

compare_duration,0.00

duplicate_files_found,1343
duplicate_size_bytes,5375686467

original_path,duplicate_path,size_bytes,hash
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-12-08 08.16.41.png,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-12-08 08.16.41.png,268248,3069a9009bae46d1870c312570318b78b4130758845812ec018a783efb4a123f
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-03-29 01.20.42.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-03-29 01.20.42.jpg,301295,9e526af2a262ad5619a768adea308a0959de5de1675bd16b9f4ad2ebda59439b
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-05-31 20.31.24.png,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-05-31 20.31.24.png,307628,9d46c4ac978d1779a889c38e66a3c96e77363c15b518d2f17fe73b5df90bcc79
p:\myPictures\Dropbox Backup\Camera Uploads\2015\2015-11-21 10.31.45.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2015\2015-11-21 10.31.45.jpg,309387,32c1efe2f5869ef5f03a684e255cda0536a1f3119be7bfcc3295560c7b583be0
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-03-15 10.50.59.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-03-15 10.50.59.jpg,321445,0bd9555c5201c2ae7e8078e1fcb9c03aa45adb624d8e9fd7176a8bd3ea1de11a
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-11-09 10.36.47.png,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-11-09 10.36.47.png,321713,6099ef9ecbbd8f6c29e44b1f8c0961260a96b6cc63f5daee18f67cdcd87926ee
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-04-23 09.45.33.png,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-04-23 09.45.33.png,322255,130b7d730cff39cfbe19dc7a8ded601c48e60e0dba22be21064ec0b0202644ec
p:\myPictures\Dropbox Backup\Camera Uploads\2015\2015-12-31 08.33.59.png,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2015\2015-12-31 08.33.59.png,333776,f37c815e86b77d53884cb4800acf918aa6ad6f613c82673bb21e12f0d191b307
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-04-02 12.25.35.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-04-02 12.25.35.jpg,337245,21bfd9194c8fa93b09e573815145e1c0e7cdb3761954c3246bfd449aa83429c2
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-05-01 17.28.59-1.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-05-01 17.28.59-1.jpg,345818,fb136cc58abc95124d3ee3a7362b5faa257ab45ff3d2a4b2bb34b6ca9369afb5
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-01 00.24.28.png,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-01 00.24.28.png,346676,6ca945818a757d2e97b9d81f91666cf8bc3f798edb2c3f10c8780c79c89ca365
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-05-25 23.52.38.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-05-25 23.52.38.jpg,352176,58f293c4e1da1cd62257f7b9d85bffaf628ad82104295a622872598b203821b9
p:\myPictures\Dropbox Backup\Camera Uploads\2015\2015-10-28 19.28.48.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2015\2015-10-28 19.28.48.jpg,353307,32ade14a35c34981e41e0a3f2000e8ea03dfa455309c3e18faf89d49b0cda7f4
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-04-02 12.26.01.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-04-02 12.26.01.jpg,355561,6f83b6dcebadf2a6326a067614697974f79b3db7ef4dc700df72e3ab9291fd67
p:\myPictures\Dropbox Backup\Camera Uploads\2015\2015-10-28 19.29.11.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2015\2015-10-28 19.29.11.jpg,357865,594bd2cb860a7e880661c69c1d40fd14a5df896c1d5e7e83ff1e177f8506f4d2
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-12-07 15.14.35.png,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-12-07 15.14.35.png,359839,2ef688718d4cf725b7f5d903bf62c8e5224658af4f7f334711610a132104d9ae
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-04-02 12.25.59.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-04-02 12.25.59.jpg,369849,b5f02cebc3a2857fff716b534ce961c54af683966a2672ff0798044f4af30241
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-05-07 18.03.39.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-05-07 18.03.39.jpg,373314,4e3082b6121bbe4b04f87e3c4bcaf6db166e349103140944764e1d1a80cdd31e
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-05-07 18.04.24.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-05-07 18.04.24.jpg,373968,a485f0ebe98bab455ac9f55a02e06583183f2cec0b75f55d300a25193db08320
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-05-27 17.06.28.png,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-05-27 17.06.28.png,379519,b0e8151a8bf91769aee4e44a7de184062ce56454e8ccdaf3c409125f86a293b9
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-03-29 01.20.28.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-03-29 01.20.28.jpg,420481,13e7f9449c82788696754b8009f7a03088342b7cb6cfe825681d3a3f66e6e75b
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-01 00.16.20.png,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-01 00.16.20.png,439699,be2167264e76b5b2d8544b906f36f3f05eea093cda80189b8f08a7a59e607812
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-02-01 19.30.39.png,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-02-01 19.30.39.png,451629,8525b00ea1a568f240234069d4d9a20b7a5fc9fd53ea270c2408971c4fd76834
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-04-23 09.26.48.png,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-04-23 09.26.48.png,454199,74c06137af6ea810ee9deea11200af19d74a326a72dabd63ac00c2a60c86344d
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-05-12 19.13.09.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-05-12 19.13.09.jpg,454593,0e39590ef9329b828cef6bd8b60123cd0e3d3a18b9a32cdf2bcc162184da3b44
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-05-14 14.53.08.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-05-14 14.53.08.jpg,474607,9d1edf4e22852e0e56f6acf397f8d3d0d611696f334d5fffaf6e18aaa475c488
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-07-07 11.38.35-1.flv,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-07-07 11.38.35-1.flv,479551,c683cff4c81eeff661cbfaa5279421d847607ce73f9f7cea9d274b63a87c6e54
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-08-28 22.55.22-3.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-08-28 22.55.22-3.jpg,479662,11707d9d285d701f13b16177473c0ce87855e55e0b502d6334ec04ab2a5aa663
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-05-04 19.29.54.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-05-04 19.29.54.jpg,483259,03931faee96d8706823303927f6094fd8616fafe0ac0a94e3acd03c1555ceaeb
p:\myPictures\Dropbox Backup\Camera Uploads\2015\2015-10-23 13.55.36.png,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2015\2015-10-23 13.55.36.png,487443,229af27eb5b5e1f09247bf43e40ca33c6577eb38f89d275d35371a85defbbdb4
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-06-12 19.42.36.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-06-12 19.42.36.jpg,490623,f66573b7646fd5f126069df5012146518124c5aa3423fbeb22702ed4325c0261
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-04-07 05.27.30.png,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-04-07 05.27.30.png,497759,42705803f128cf336db769bf96d93a87affe1c7064ec386150aa3d7eae914f4e
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-08-28 22.55.16-2.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-08-28 22.55.16-2.jpg,500514,06069ed0c714ea7ecf6358a48edfb98efe4081a100fee174860c3fc8e8c76ba0
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-04-23 19.22.13.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-04-23 19.22.13.jpg,500878,d0e9662005cf6a4c48183a1c6f4d2c992a3371f5d45d21e2d5660b0a44218422
